NOMBRE,MARCA,SKU,CATEGORIA,SUBCATEGORIA,PROMO,PRECIO_ANTES,PRECIO,TALLAS,CONDICION,DESCRIPCION,FOTOS,DESTACADO,LANZAMIENTO
Yeezy Foam Runner Stone Sage,Adidas,YZY-FOAM-01,sneakers,,NO,,350000,4,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/YZY-FOAM-01.jpg,NO,NO
Dunk Hyper Cobalt,Nike,DUNK-01,sneakers,,NO,,450000,7.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Forum Buckle Low Blue Tint,Adidas x Bad Bunny,ADI-BB-05,sneakers,,NO,,1800000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
SB Dunk Low Supreme Rammellzee Black,Nike,SB-DUNK-03,sneakers,,NO,,1500000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Yeezy Slide Azure,Adidas,YZY-SLIDE-01,sneakers,,NO,,400000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Clog Grateful Dead,Crocs,CROCS-01,sneakers,,NO,,450000,6,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
McDonald's x Palace Camiseta,Palace,,streetwear,ropa,NO,,250000,L,nuevo,Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Gallery Dept t shirt,Gallery Dept,,streetwear,ropa,NO,,800000,XL,nuevo,Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Gallery Dept Skull Tee,Gallery Dept,,streetwear,ropa,NO,,700000,M,nuevo,Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Canguro Jordan Gris,Jordan,,streetwear,ropa,NO,,220000,,nuevo,Nuevo con bolsa. Rareza alta (🔥). Comisión incluida en el precio.,,NO,NO
Essentials Light Tusca,Essentials,,streetwear,ropa,NO,,810000,M,nuevo,Nuevo con bolsa. Comisión incluida en el precio.,,NO,NO
Essentials Jet Black S23,Essentials,,streetwear,ropa,NO,,614000,S,nuevo,"Talla S, calza como M. Nuevo con bolsa. Comisión incluida en el precio.",,NO,NO
Essentials Jet Black S23,Essentials,,streetwear,ropa,NO,,614000,M,nuevo,"Talla M, calza como L. Nuevo con bolsa. Comisión incluida en el precio.",,NO,NO
Denim Tears Zip Up Hoodie 2024 SS,Denim Tears,,streetwear,ropa,NO,,1100000,L,nuevo,Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Gallery Dept Student,Gallery Dept,,streetwear,ropa,NO,,550000,M,nuevo,Talla M oversize. Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Cap Special Edition,Supreme,,streetwear,accesorio,NO,,420000,Regulable,nuevo,Nuevo con bolsa y etiquetas. Comisión incluida en el precio.,,NO,NO
Always Prevail Camo Green,Supreme,,streetwear,ropa,NO,,430000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Air Max Geode Teal,Nike,AM-02,sneakers,,NO,,900000,"8,9,10,11",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
x Ferxxocalipsis,Salomon,SLMN-01,sneakers,,NO,,1150000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Air Max 95 SB Flor Cactus,Nike,AM95-01,sneakers,,NO,,980000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Camiseta Brasil 2004,Nike,,streetwear,ropa,NO,,950000,L,nuevo,Camiseta Ronaldinho. Comisión incluida en el precio.,,NO,NO
The 170 Tee,Anti Social Social Club,,streetwear,ropa,NO,,250000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Pack Medias,Supreme,,streetwear,accesorio,NO,,250000,,nuevo,Comisión incluida en el precio.,,NO,NO
x Bape Milo Tee,Adidas x Bape,,streetwear,ropa,NO,,390000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Fog Sand Hoodie,Essentials,,streetwear,ropa,NO,,550000,L,nuevo,Comisión incluida en el precio.,,NO,NO
Fog Tuscan Hoodie,Essentials,,streetwear,ropa,NO,,550000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Travis Scott Shy Pink,Jordan,AJ1-05,sneakers,,NO,,1800000,"8,7.5,8.5,9,9.5,10",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Socks Black,Supreme,,streetwear,accesorio,NO,,240000,,nuevo,Nuevo sellado. Rareza alta (🔥). Comisión incluida en el precio.,,NO,NO
Socks White,Supreme,,streetwear,accesorio,NO,,240000,,nuevo,Nuevo sellado. Rareza alta (🔥). Comisión incluida en el precio.,,NO,NO
Jordan 3 Rio,Jordan,AJ3-02,sneakers,,NO,,1900000,"9,10.5",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 4 SB Navy,Jordan,AJ4-08,sneakers,,NO,,1400000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/AJ4-08.jpg,NO,NO
SB Dunk Albino and Preto,Nike,SB-DUNK-04,sneakers,,NO,,1500000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Towels Pack 3,Supreme,,streetwear,accesorio,NO,,220000,,nuevo,Rareza muy alta (🔥🔥🔥). Comisión incluida en el precio.,,NO,NO
x Kith,Salomon,SLMN-02,sneakers,,NO,,1300000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Air Force 1 A Ma Maniere,Nike,AF1-01,sneakers,,NO,,980000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Crewneck Salmon,Essentials,,streetwear,ropa,NO,,370000,"XS,M",nuevo,Comisión incluida en el precio.,,NO,NO
Crewneck Olive Green,Essentials,,streetwear,ropa,NO,,370000,"S,M,L,XL",nuevo,Comisión incluida en el precio.,,NO,NO
Double S 5 Panel,Supreme,,streetwear,accesorio,NO,,320000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Eyelets Mesh Back 5 Panel,Supreme,,streetwear,accesorio,NO,,320000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Handstyle Cap,Supreme,,streetwear,accesorio,NO,,320000,7 1/2,nuevo,Comisión incluida en el precio.,,NO,NO
x Ferxxo Sunburst Logo,Hidden.NY,,streetwear,accesorio,NO,,320000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Nocta x Nike Cap,Nike,,streetwear,accesorio,NO,,270000,SM-MD,nuevo,Comisión incluida en el precio.,,NO,NO
Ducati 6 Panel,Supreme,,streetwear,accesorio,NO,,350000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Plum Hoodie,Essentials,,streetwear,ropa,NO,,450000,L,nuevo,Comisión incluida en el precio.,,NO,NO
Fat Tip Puffer,Supreme,,streetwear,ropa,NO,,2150000,L,nuevo,Comisión incluida en el precio.,,NO,NO
Faux Croc Blazer,Supreme,,streetwear,ropa,NO,,2100000,L,nuevo,Comisión incluida en el precio.,,NO,NO
Small Box Face Mask 2021,Supreme,,streetwear,accesorio,NO,,700000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Coral Sweatpants,Essentials,,streetwear,ropa,NO,,400000,S,nuevo,Comisión incluida en el precio.,,NO,NO
Wood Sweatpants,Essentials,,streetwear,ropa,NO,,400000,S,nuevo,Comisión incluida en el precio.,,NO,NO
Fat Fit Pant,Supreme,,streetwear,ropa,NO,,800000,32,nuevo,Comisión incluida en el precio.,,NO,NO
NY Flag T-Shirt,Hidden.NY,,streetwear,ropa,NO,,370000,L,nuevo,Comisión incluida en el precio.,,NO,NO
NY Souvenir T-Shirt,Hidden.NY,,streetwear,ropa,NO,,370000,L,nuevo,Comisión incluida en el precio.,,NO,NO
NY Souvenir T-Shirt Black,Hidden.NY,,streetwear,ropa,NO,,370000,M,nuevo,Comisión incluida en el precio.,,NO,NO
NY Souvenir T-Shirt White,Hidden.NY,,streetwear,ropa,NO,,370000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Ferxxo Tee,Hidden.NY,,streetwear,ropa,NO,,320000,XXL,nuevo,Comisión incluida en el precio.,,NO,NO
Stay Awake T-Shirt,Anti Social Social Club,,streetwear,ropa,NO,,300000,XL,nuevo,Comisión incluida en el precio.,,NO,NO
Fat Fit Pant,Supreme,,streetwear,ropa,NO,,800000,32,nuevo,Comisión incluida en el precio.,,NO,NO
T-Shirt Mint,Essentials,,streetwear,ropa,NO,,300000,M,nuevo,Comisión incluida en el precio.,,NO,NO
Crewneck Canary Yellow,Essentials,,streetwear,ropa,NO,,370000,"XS,S,M",nuevo,Tallaje de mujer. Comisión incluida en el precio.,,NO,NO
Washed Chino Cap,Supreme,,streetwear,accesorio,NO,,370000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Washed Chino Cap,Supreme,,streetwear,accesorio,NO,,370000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
Zip Canary Yellow Jacket,Essentials,,streetwear,ropa,NO,,300000,XL,nuevo,Comisión incluida en el precio.,,NO,NO
Brasil T-Shirt,Corteiz,,streetwear,ropa,NO,,350000,L,nuevo,Comisión incluida en el precio.,,NO,NO
It's Too Cassette,Supreme,,streetwear,accesorio,NO,,600000,,nuevo,Nuevo sellado. Rareza muy alta (🔥🔥🔥). Comisión incluida en el precio.,,NO,NO
Beanie Oval Patch,Supreme,,streetwear,accesorio,NO,,300000,,nuevo,Comisión incluida en el precio.,,NO,NO
Beanie Sticky Note,Supreme,,streetwear,accesorio,NO,,300000,,nuevo,Comisión incluida en el precio.,,NO,NO
9FORTY Oakland Athletics,New Era,,streetwear,accesorio,NO,,250000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
9FORTY San Diego,New Era,,streetwear,accesorio,NO,,250000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
9FORTY San Francisco Giants,New Era,,streetwear,accesorio,NO,,250000,Regulable,nuevo,Comisión incluida en el precio.,,NO,NO
SB Dunk Born x Raised,Nike,SB-DUNK-05,sneakers,,NO,,2600000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Big Into Energy,Labubu,,streetwear,accesorio,NO,,130000,,nuevo,Nuevo sellado. Rareza alta (🔥). Comisión incluida en el precio.,,NO,NO
Duffle Bag,Supreme,,streetwear,accesorio,NO,,620000,,nuevo,Nuevo con caja. Rareza muy alta (🔥🔥🔥). Comisión incluida en el precio.,,NO,NO
Shoulder Bag,Supreme,,streetwear,accesorio,NO,,550000,,nuevo,Nuevo con bolsa. Rareza alta (🔥🔥). Comisión incluida en el precio.,,NO,NO
Backpack,Supreme,,streetwear,accesorio,NO,,700000,,nuevo,Nuevo con caja. Rareza muy alta (🔥🔥🔥). Comisión incluida en el precio.,,NO,NO
Jordan 4 Brick by Brick,Jordan,AJ4-09,sneakers,,NO,,3400000,"8.5,11",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 4 Undefeated,Jordan,AJ4-10,sneakers,,NO,,1412000,11,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 4 SB Pine Green,Jordan,AJ4-11,sneakers,,NO,,2500000,11,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 4 SB Navy,Jordan,AJ4-12,sneakers,,NO,,1215000,11,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/AJ4-12.jpg,NO,NO
